team,ast.to.ratio,ast.g,bench.ppg,blks.g,eFG,fastbreak.pts,fga,fg.perc.off,fg.perc.def,fouls.g,fta.g,ft.perc,ftm.g,reb.margin,reb.def,reb.off,reb.g,scoring.def,scoring.margin,scoring.off,stls.g,threepa.g,threep.perc.off,threep.perc.def,threepm.g,to.margin,to.force.g,to.g,opp.eFG,poss.per.game
Omaha,1.22,13.4,21.15,2.4,0.537,10.03,58.2,46.6,44.8,18.4,21.3,72.4,15.4,2.9,25.68,9.88,35.56,75,3,78.1,6,22.7,36.7,34.6,8.3,-0.5,10.44,10.9,0.531,70.7
Oregon,1.29,14.6,22.03,3.8,0.522,11.91,58.6,45.7,43.1,16.4,19.6,76.3,14.9,1.9,25.33,10.21,35.55,70.9,5.3,76.2,7.2,22.6,34,31.7,7.7,1,12.24,11.3,0.49,71
Purdue,1.54,16,16.94,1.7,0.563,8.24,56.5,49,45.5,16.1,19.5,73,14.3,1.4,22.85,9.52,32.36,71.1,6.8,77.9,6.5,21.5,38.5,30.7,8.3,1.5,11.85,10.4,0.52,67.7
Robert Morris,1.23,16,15.03,4.5,0.515,11.06,58.9,45.1,43.8,16.5,22.6,72.2,16.3,4.9,24.94,12.44,37.38,70.4,6.4,76.9,6.4,21.6,35,33.6,7.6,0.1,13.09,13,0.503,71.5
Saint Mary's (CA),1.58,15.5,18.15,3.9,0.51,6.45,59.3,45.5,40.8,15,18.5,69.4,12.9,10.7,25.73,14.06,39.79,60.7,12.8,73.5,6.2,20,32.3,30.8,6.5,1,10.76,9.8,0.462,65.6
SDSU,1.19,13,20.52,5.5,0.509,8.97,57.6,44.2,38.3,18.4,18.2,66.4,12.1,-0.3,25.03,10.13,35.16,64.6,6.1,70.7,7.6,23.1,33.3,31.1,7.7,2.3,13.29,11,0.459,68.7
SIU Edwardsville,1.2,13.7,17.82,4,0.496,12.24,58.7,43.4,40.2,16.5,19.3,67.6,13.1,3,26.48,12,38.48,66.1,6.5,72.6,6.7,21.9,34.1,32.7,7.5,1.3,12.67,11.4,0.475,69.7
St. Francis PA,1.1,14.2,19.03,2.5,0.534,8.53,57.4,46.2,43.2,15.2,13.4,72.7,9.7,-0.4,25.44,8.53,33.97,71.6,-0.5,71,6.2,24.2,34.2,30.9,8.3,-1.9,11.06,12.9,0.512,69.1
St. John's (NY),1.43,15.9,15,5.2,0.497,13.32,65.5,45.1,40.1,16.6,19.8,68.9,13.6,5.9,26.38,14.47,40.85,65.9,12.8,78.7,9.2,19.9,30.4,31.8,6,4.5,15.62,11.1,0.466,73.6
Tennessee,1.48,15.5,19.73,5,0.528,8.09,56.6,45.5,38,15.4,19.7,74.2,14.6,5.5,25.33,11.67,37,62.3,12.3,74.7,6.9,24.3,34.1,27.6,8.3,1.3,11.79,10.5,0.444,67.6
