Rk,team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg,ORtg,DRtg,NetRtg
62,Penn St.,B10,16-15,13.7,114.7,101,69.8,-0.093,9.34,111.9,102.6,-10.57
63,USC,B10,16-17,12.9,116.6,103.7,68.2,-0.043,12.15,113.3,101.2,-2.14
64,Iowa,B10,17-16,12.8,119.6,106.8,69.5,-0.037,12.28,113.6,101.3,-8.4
65,San Francisco,WCC,24-9,12.7,111.7,99,67.7,0.053,3.74,109.6,105.8,-1.16
66,Kansas St.,B12,16-17,12.2,109.3,97.1,67,-0.037,12.87,112.5,99.6,-1.15
67,UC Irvine,BW,28-6,12.1,107.3,95.2,68.7,0.059,0.47,107,106.5,4.26
68,UCF,B12,17-16,11.6,115.4,103.8,71.9,0.025,12.03,111.6,99.6,-1.02
69,South Carolina,SEC,20-Dec,11.5,110.5,98.9,65.3,-0.088,14.51,114.9,100.4,-1.96
70,Wake Forest,ACC,21-11,11.3,108.2,96.9,67.1,0.088,8.7,111.4,102.7,-2.09
71,Arizona St.,B12,13-19,11.2,112.5,101.3,68.4,-0.019,15.62,114.6,99,8.33
72,North Texas,Amer,24-8,11.1,109.3,98.2,60.4,-0.019,1.05,108.6,107.6,1.75
73,Yale,Ivy,22-7,11,115.1,104.1,67.2,-0.041,-2.55,106.4,109,-0.81
74,Rutgers,B10,15-17,10.8,115.1,104.3,68.6,-0.012,13.28,113.5,100.2,-2.25
75,Dayton,A10,22-10,10.7,115.5,104.7,65.8,0.032,4.63,108.3,103.7,4.87
76,Utah,B12,16-16,10.6,112.4,101.7,68.7,-0.05,10.59,112.1,101.5,-9.41
77,Butler,BE,14-19,10.5,116.1,105.6,67.4,-0.077,11.39,112.1,100.7,3.07
78,George Mason,A10,26-8,10.1,105.8,95.8,64.5,0.075,1.01,107.4,106.3,-5.35
79,Stanford,ACC,21-13,10,112.5,102.6,66,0.045,5.86,109.6,103.8,-3.87
80,Saint Joseph's,A10,22-12,9.8,110.8,101,67.9,-0.059,0.71,106.5,105.8,-4.2
81,Nevada,MWC,17-16,9.7,112.6,102.9,63.8,-0.093,5.14,108.9,103.8,2.02
82,Lipscomb,ASun,25-9,9.5,112.7,103.2,65.9,-0.028,-4.5,105.7,110.2,4
83,Colorado,B12,14-20,9.5,108.8,99.3,67.6,-0.042,13.45,113.1,99.6,-1.52
84,High Point,BSth,29-5,9.4,118.5,109.1,66.4,0.011,-5.44,104.4,109.8,-5.82
85,Oregon St.,WCC,20-12,9.3,116.2,106.9,63.7,-0.029,0.93,107,106.1,-4.58
86,Arkansas St.,SB,25-10,9,111.1,102.1,70,-0.039,-2.13,105.1,107.2,0.92
87,TCU,B12,16-16,8.9,105.8,96.9,66.5,0.03,13.17,113.5,100.4,2.88
88,Georgetown,BE,17-15,8.8,108.3,99.5,68.2,-0.037,6.33,109.8,103.5,-11.5
89,LSU,SEC,14-18,8.7,109,100.3,67.9,-0.062,13.96,114.3,100.4,-6.91
90,Florida St.,ACC,17-15,8.5,108.8,100.3,69.5,-0.007,6.53,110.3,103.8,-2.47
91,Minnesota,B10,15-17,8.5,110.1,101.7,62.6,0.025,11.61,112.9,101.3,-6.03
92,Grand Canyon,WAC,26-7,7.2,107.8,100.6,71.4,0.019,-3.48,103.1,106.6,-3.28
93,Troy,SB,23-10,7.2,107.8,100.6,66.3,-0.009,-2.59,105.5,108.1,1.35
94,UNLV,MWC,18-15,7.2,107.3,100.2,65.7,0.01,5.71,109.8,104.1,3.71
95,Bradley,MVC,26-8,7.1,111.5,104.4,65.6,0.097,0.21,107.6,107.4,-2.85
96,Notre Dame,ACC,15-18,7.1,111.3,104.2,64.7,-0.046,7.65,111.2,103.5,-0.22
97,Akron,MAC,28-6,6.9,113.9,107,71.4,0.071,-4.03,104.9,108.9,1.71
98,Providence,BE,20-Dec,6.9,112.1,105.2,66.2,-0.097,9.67,111.9,102.2,-0.59
99,Oklahoma St.,B12,16-17,6.5,108.1,101.6,71.5,0.079,11.33,112.5,101.2,-3.04
100,Georgia Tech,ACC,17-17,6.1,107.2,101.1,68.6,-0.001,6.34,110.5,104.1,-7.92
101,Northern Iowa,MVC,20-12,5.8,109.8,104.1,64.9,-0.006,0.03,107.1,107.1,-1.52
102,UAB,Amer,22-12,5.5,116.8,111.3,69,-0.024,-0.88,106.1,107,-8.56
103,Chattanooga,SC,25-9,5.4,115.5,110,66.5,0.052,-2.22,105.2,107.4,0.23
104,Virginia,ACC,15-17,5.3,110.6,105.3,61.1,0.016,8.75,111.1,102.4,0.95
105,Jacksonville St.,CUSA,23-12,5.2,110,104.8,64.9,0.045,2.26,107.4,105.2,0.03
106,UNCW,CAA,27-7,5.2,112.3,107.1,65.3,0.055,-4.56,104.9,109.4,-4.94
107,Washington,B10,13-18,5,109.1,104,67.6,0.011,12.76,113.6,100.9,-4.24
108,North Alabama,ASun,24-10,5,112,107,66.5,0.006,-5.49,104.7,110.2,-2.95
109,Loyola Chicago,A10,22-11,4.7,107.2,102.5,66.9,0.067,0.31,106.5,106.2,-9.08
110,California,ACC,14-19,4.7,111.3,106.6,67.5,-0.038,6.83,111,104.2,-1.68
111,Utah Valley,WAC,25-8,4.6,106.8,102.2,67.9,0.089,-1.82,105,106.9,0.83
112,Samford,SC,22-10,4.5,112.6,108.1,70.9,0.018,-2.52,105.8,108.3,-0.07
113,Florida Atlantic,Amer,18-15,4.5,112.3,107.9,68.7,-0.019,2.57,108.1,105.5,4.52
114,Syracuse,ACC,14-19,4.5,110.4,105.9,68.1,0.026,8.67,111.7,103.1,2.59
115,South Alabama,SB,21-11,4.4,107.5,103.1,63,-0.042,-3.84,104.4,108.3,-2.83
116,George Washington,A10,21-12,4.4,107.9,103.5,66.7,-0.023,-2.23,104.5,106.7,-11.34
117,DePaul,BE,14-19,4.3,109.6,105.3,66.9,-0.038,8.32,110.6,102.3,-9.49
118,Wofford,SC,19-15,4.2,113.7,109.4,64,-0.032,-0.63,106.8,107.4,5.21
119,CSUN,BW,22-11,4.2,108.8,104.6,72.2,0.013,-2.08,105.4,107.5,-5.4
120,Kent St.,MAC,23-11,4.2,105.9,101.7,66.3,0.027,-3.06,106,109,2.09
121,Middle Tennessee,CUSA,22-12,4.2,109.1,104.9,68.3,0.074,2.83,107.5,104.6,2.84
122,St. Bonaventure,A10,22-12,4.1,105.3,101.1,64.6,0.047,1.16,107.3,106.2,-4.29
123,Saint Louis,A10,19-15,4.1,109.2,105.1,67.5,-0.001,3.7,108.2,104.5,-0.3
124,Northern Colorado,BSky,25-9,3.9,112,108.1,68.7,0.042,-4.18,105.5,109.7,2.11
125,Washington St.,WCC,19-14,3.9,111.6,107.7,70.5,0.076,4.2,109.4,105.2,2.49
126,Louisiana Tech,CUSA,20-12,3.9,109,105.1,64.4,0.031,1.09,106.1,105,-2.33
127,N.C. State,ACC,19-Dec,3.9,107.6,103.7,65.2,-0.079,7.05,111.1,104,-5.16
128,St. Thomas,Sum,24-10,3.4,113.6,110.2,67.8,-0.01,-3.53,106.8,110.3,-0.54
129,Belmont,MVC,22-11,3.4,112.3,108.9,70.5,0.081,0.03,106.9,106.9,-1.54
130,Kennesaw St.,CUSA,19-14,3.4,107.1,103.8,70.3,0.035,3.32,107.3,103.9,3.18
